"","population","location","number","treatment_initial","treatment_final","control_initial","control_final","trtpro","cntrpro","chlp_tolerance"
"1","Cemetary","South","1",446,126,382,382,0.282511210762332,1,0.282511210762332
"2","Cemetary","South","2",392,230,465,439,0.586734693877551,0.944086021505376,0.642648672372175
"3","Cemetary","South","3",382,129,433,332,0.337696335078534,0.766743648960739,0.570952686117795
"4","Cemetary","South","4",547,110,496,515,0.20109689213894,1.0383064516129,0.162790440526036
"5","Cemetary","South","5",420,167,427,484,0.397619047619048,1.13348946135831,0.264129586260734
"6","Cemetary","South","6",376,122,382,338,0.324468085106383,0.884816753926702,0.439651331179681
"7","Cemetary","South","7a",427,160,484,471,0.374707259953162,0.973140495867769,0.401566764085393
"8","Cemetary","South","7b",370,148,332,262,0.4,0.789156626506024,0.610843373493976
"9","Cemetary","South","8",382,160,408,351,0.418848167539267,0.860294117647059,0.558554049892208
"10","Cemetary","South","9",484,129,490,471,0.266528925619835,0.961224489795918,0.305304435823916
"11","Cemetary","South","10",515,141,490,477,0.27378640776699,0.973469387755102,0.300317020011888
"12","Cemetary","South","11",471,160,465,414,0.339702760084926,0.890322580645161,0.449380179439764
"13","Oil Patch","South","1",452,116,439,477,0.256637168141593,1.08656036446469,0.1700768036769
"14","Oil Patch","South","2",446,167,433,420,0.374439461883408,0.969976905311778,0.40446255657163
"15","Oil Patch","South","3",528,173,528,496,0.327651515151515,0.939393939393939,0.388257575757576
"16","Oil Patch","South","3",484,230,471,458,0.475206611570248,0.9723991507431,0.502807460827148
"17","Oil Patch","South","4",534,192,515,534,0.359550561797753,1.0368932038835,0.322657357914258
"18","Oil Patch","South","5",503,167,509,490,0.332007952286282,0.962671905697446,0.369336046588836
"19","Oil Patch","South","7",528,217,560,541,0.410984848484849,0.966071428571429,0.44491341991342
"20","Oil Patch","South","8",465,313,471,477,0.673118279569892,1.01273885350318,0.660379426066708
"21","Oil Patch","South","8",325,148,319,376,0.455384615384615,1.17868338557994,0.276701229804678
"22","Oil Patch","South","9",452,186,446,446,0.411504424778761,1,0.411504424778761
"23","Parking Lot","South","2",338,135,344,325,0.399408284023669,0.944767441860465,0.454640842163204
"24","Parking Lot","South","3",408,167,420,338,0.409313725490196,0.804761904761905,0.604551820728291
"25","Parking Lot","South","4",357,129,344,344,0.361344537815126,1,0.361344537815126
"26","Parking Lot","South","5",477,135,354,496,0.283018867924528,1.40112994350282,-0.118111075578297
"27","Parking Lot","South","6",389,160,395,439,0.411311053984576,1.11139240506329,0.299918648921285
"28","Prairie Island","North","1",541,148,503,541,0.273567467652495,1.07554671968191,0.198020747970587
"29","Prairie Island","North","2",503,224,503,490,0.445328031809145,0.974155069582505,0.47117296222664
"30","Prairie Island","North","3",534,84,503,477,0.157303370786517,0.94831013916501,0.208993231621507
"31","Prairie Island","North","4",515,173,509,509,0.335922330097087,1,0.335922330097087
"32","Prairie Island","North","5",496,160,522,496,0.32258064516129,0.950191570881226,0.372389074280064
"33","Prairie Island","North","9",477,103,465,496,0.215932914046122,1.06666666666667,0.149266247379455
"34","Prairie Island","North","10",547,141,604,585,0.257769652650823,0.968543046357616,0.289226606293207
"35","Prairie Island","North","11",496,84,484,439,0.169354838709677,0.90702479338843,0.262330045321248
"36","Prairie Island","North","12",490,154,490,522,0.314285714285714,1.06530612244898,0.248979591836735
"37","Prairie Island","North","13",503,344,534,522,0.68389662027833,0.97752808988764,0.70636853039069
"38","Prairie Island","North","14",490,53,528,515,0.108163265306122,0.975378787878788,0.132784477427335
"39","Prairie Island","North","15",465,116,465,433,0.249462365591398,0.931182795698925,0.318279569892473
"40","Prairie Island","North","18",598,167,604,560,0.279264214046823,0.927152317880795,0.352111896166028
"41","Prairie Island","North","19",617,205,630,611,0.3322528363047,0.96984126984127,0.36241156646343
"42","Prairie Island","North","21",566,160,572,572,0.282685512367491,1,0.282685512367491
"43","Prairie Island","North","25",541,148,534,566,0.273567467652495,1.05992509363296,0.213642374019537
"44","Prairie Island","North","27",490,78,471,465,0.159183673469388,0.987261146496815,0.171922526972572
"45","Prairie Island","North","28",477,154,490,484,0.322851153039832,0.987755102040816,0.335096050999016
"46","Prairie Island","North","30",585,167,585,534,0.285470085470085,0.912820512820513,0.372649572649573
"47","Reserve","North","3",503,167,503,420,0.332007952286282,0.834990059642147,0.497017892644135
"48","Reserve","North","5",484,148,477,452,0.305785123966942,0.947589098532495,0.358196025434447
"49","Tremp","North","1",351,129,376,395,0.367521367521368,1.05053191489362,0.316989452627751
"50","Tremp","North","2",490,179,458,414,0.36530612244898,0.903930131004367,0.461375991444613
"51","Tremp","North","3",439,198,446,458,0.451025056947608,1.02690582959641,0.424119227351196
"52","Tremp","North","4",452,122,458,465,0.269911504424779,1.01528384279476,0.254627661630019
"53","Tremp","North","5",389,148,389,363,0.380462724935733,0.933161953727506,0.447300771208226
"54","Tremp","North","6",401,91,382,357,0.226932668329177,0.934554973821989,0.292377694507188
"55","Tremp","North","6",167,78,198,192,0.467065868263473,0.96969696969697,0.497368898566503
"56","Tremp","North","7",471,192,458,395,0.407643312101911,0.862445414847162,0.545197897254749
"57","Tremp","North","8",465,179,465,452,0.38494623655914,0.972043010752688,0.412903225806452
"58","Tremp","North","9",376,135,401,408,0.359042553191489,1.01745635910224,0.341586194089245
"59","Tremp","North","10",465,179,471,420,0.38494623655914,0.89171974522293,0.49322649133621
"60","Tremp","North","11",515,122,471,465,0.236893203883495,0.987261146496815,0.24963205738668
"61","Tremp","North","12",433,173,395,376,0.399538106235566,0.951898734177215,0.447639372058351
"62","Tremp","North","13",446,154,395,401,0.345291479820628,1.01518987341772,0.330101606402906
"63","Tremp","North","14",458,141,471,427,0.307860262008734,0.906581740976645,0.401278521032088
"64","Tremp","North","15",509,122,484,471,0.239685658153242,0.973140495867769,0.266545162285473
"65","Tremp","North","17",408,116,408,382,0.284313725490196,0.936274509803922,0.348039215686274
"66","Tremp","North","18",522,205,490,471,0.39272030651341,0.961224489795918,0.431495816717492
"67","Tremp","North","19",490,173,465,484,0.353061224489796,1.04086021505376,0.312201009436033
"68","Tremp","North","20",447,179,471,503,0.400447427293065,1.06794055201699,0.33250687527608
"69","Tremp","North","21",427,205,465,471,0.480093676814988,1.01290322580645,0.467190451008537
"70","Tremp","North","22",446,157,427,452,0.352017937219731,1.05854800936768,0.293469927852049
"71","Tremp","North","23",370,135,382,370,0.364864864864865,0.968586387434555,0.39627847743031
"72","Tremp","North","24",471,129,408,389,0.273885350318471,0.95343137254902,0.320453977769452
"73","Tremp","North","25",465,167,439,401,0.359139784946237,0.913439635535307,0.445700149410929
"74","Tremp","North","26",452,205,452,484,0.45353982300885,1.07079646017699,0.382743362831858
"75","Tremp","North","27",439,135,477,515,0.30751708428246,1.07966457023061,0.227852514051852
"76","Tremp","North","28",427,129,446,433,0.302107728337237,0.97085201793722,0.331255710400017
"77","Tremp","North","29",446,179,433,389,0.401345291479821,0.89838337182448,0.50296191965534
"78","Tremp","North","30",509,192,496,433,0.37721021611002,0.872983870967742,0.504226345142278
