 ,Area,Mean,Min,Max,Length,,,,
1,23,85.63,56.669,114.333,22.672,,,,
2,26,91.461,68.201,126.448,25.612,,,,
3,32,82.49,50.806,121.328,32.284,,Pollen Grains,1310,
4,19,104.607,77.042,125.938,18.601,,Conversion,670.7,px/mm
5,13,81.661,60.757,117.12,12.166,,,,
6,23,114.562,50.242,255,22.825,,,,
7,16,79.006,57.606,104.592,15.232,,,,
8,18,95.298,64.946,119,17.117,,,,
9,17,64.589,45.019,94.218,20.844,,,,
10,36,89.651,55.907,104.175,35.168,,,,
11,24,71.498,55.104,93.447,23.849,,,,
12,30,84.555,69.778,92.667,30.234,,,,
13,28,85.337,73.027,97.435,27.587,,,,
14,28,154.68,76.333,255,27.587,,,,
15,12,85.179,64.896,105.167,11.662,,,,
16,21,73.555,45.904,103.667,20.591,,,,
17,13,86.768,77.043,106.307,14.723,,,,
18,14,91.42,60.085,120.255,13.038,,,,
19,16,82.229,41.707,124.88,15.556,,,,
20,25,99.726,73.789,125.564,24.047,,,,
21,19,90.354,64.761,112.333,18.57,,,,
22,23,95.68,74.315,113.333,23.678,,,,
23,30,105.499,64.325,118.625,32.064,,,,
24,26,106.985,81.962,123.423,26.915,,,,
25,24,103.523,73.503,127,24.654,,,,
26,21,97.591,57.374,120.891,20.248,,,,
27,33,95.848,59.333,118.333,32,,,,
28,15,90.745,60.384,111,14.866,,,,
29,23,89.828,58.737,107.326,24.361,,,,
30,17,82.208,40.657,118.667,16.125,,,,
31,17,78.56,57.588,101.333,16.401,,,,
32,21,75.968,58.253,90.25,21.802,,,,
33,19,78.296,57.094,89.588,18.682,,,,
34,16,80.802,58.164,94.846,15.524,,,,
35,17,75.811,64.384,95.333,16.125,,,,
36,19,88.122,64.736,118.333,20.439,,,,
37,17,98.106,79.969,116,16.492,,,,
38,23,99.988,65.196,118.527,22.204,,,,
39,25,102.894,68.333,120,24.296,,,,
40,22,79.992,56.345,102.892,24.282,,,,
41,34,96.361,66.595,126.434,33.155,,,,
42,15,101.479,82.547,133.507,14.948,,,,
43,27,100.576,86.333,121.667,26.246,,,,
44,19,87.101,74.06,98.17,18.385,,,,
45,20,106.988,86.283,119.667,19.925,,,,
46,24,104.222,74.554,125.431,23.537,,,,
47,18,88.272,73.182,115.571,18.784,,,,
48,18,105.579,96.264,123,17.029,,,,
49,20,92.837,73.828,131,19.82,,,,
50,26,96.085,73.66,126.144,25.741,,,,
51,19,97.941,66.739,118.548,18.601,,,,
52,18,78.994,52.591,106.285,17.029,,,,
53,14,94.092,73.822,117.333,13.601,,,,
54,16,81.004,50.128,106.709,16.831,,,,
55,16,89.536,58.511,112.36,15.232,,,,
56,18,110.962,98.167,124.707,17.71,,,,
57,34,92.271,75.366,119.134,33.714,,,,
58,19,84.834,60.304,99.333,18.385,,,,
59,28,72.838,46.113,103.174,33.238,,,,
60,11,80.519,61.305,113,10.77,,,,
61,15,87.806,51.597,107.018,14.142,,,,
62,31,111.528,65.611,255,30.205,,,,
63,15,67.476,45,106.391,14.765,,,,
64,20,84.506,60.812,107,19.747,,,,
65,14,79.515,61.117,109,13.454,,,,
66,34,75.063,56.431,87.976,35.728,,,,
67,23,81.863,73.417,88.575,23.002,,,,
68,38,99.095,51.01,255,37.722,,,,
69,28,96.389,42.386,255,27.545,,,,
70,25,91.216,65.364,121.425,25.003,,,,
71,24,102.516,67.241,127.536,23.77,,,,
72,29,93.503,60.225,109.84,28.718,,,,
73,17,90.799,53.404,116.896,16.155,,,,
